Product Name,Lock Period,Call Center Price,Rate,Investor Pricing,Srp
10000.20.001,75,100.127,5.25,104.1607911,0.763979239
10000.20.001,75,100.243,5.375,104.5458895,1.159077674
10000.20.001,75,100.379,5.5,104.7750016,1.365189759
10000.20.001,75,100.501,5.625,105.0673516,1.677539774
10000.20.001,75,100.624,5.75,105.3670531,0.579303133
10000.20.001,75,101.242,5.875,105.6712478,0.870497841
10000.20.001,75,101.501,5.99,106.0544755,1.252725549
10000.20.001,75,N/A,6.125,N/A,1.424294924
10000.25.001,15,97.630,4.25,102.6735137,0.771648675
10000.25.001,15,98.26,4.375,103.2914578,1.391592796
10000.25.001,15,98.998,4.5,103.89998,1.997114975
10000.25.001,15,99.244,4.625,104.3724538,2.469588746
10000.25.001,15,99.384,4.75,104.0217634,0.750091215
10000.25.001,15,100,4.875,104.5237119,1.251039691
10000.25.001,15,100.257,4.99,104.8366843,1.55901208
10000.25.001,15,100.504,5.125,105.375631,2.10895873
10000.25.001,15,100.627,5.25,104.6497911,0.752979239
10000.25.001,15,100.751,5.375,105.0498895,1.155077674
10000.25.001,15,100.867,5.5,105.2680016,1.377189759
10000.25.001,15,101.001,5.625,105.5683516,1.684539774
10000.25.001,15,101.121,5.75,105.8550531,0.578303133
10000.25.001,15,101.756,5.875,106.1722478,0.882497841
10000.25.001,15,102,5.99,106.5394755,1.254725549
10000.25.001,15,N/A,6.125,N/A,1.437294924
10000.25.001,30,97.506,4.25,102.5565137,0.781648675
10000.25.001,30,98.134,4.375,103.1684578,1.401592796
10000.25.001,30,98.879,4.5,103.76698,2.005114975
10000.25.001,30,99.123,4.625,104.2414538,2.472588746
10000.25.001,30,99.251,4.75,103.9117634,0.747091215
10000.25.001,30,99.875,4.875,104.4037119,1.242039691
10000.25.001,30,100.124,4.99,104.7176843,1.55801208
10000.25.001,30,100.368,5.125,105.257631,2.09995873
10000.25.001,30,100.509,5.25,104.5267911,0.768979239
10000.25.001,30,100.615,5.375,104.9228895,1.151077674
10000.25.001,30,100.744,5.5,105.1320016,1.366189759
10000.25.001,30,100.883,5.625,105.4433516,1.673539774
10000.25.001,30,101.01,5.75,105.7470531,0.576303133
10000.25.001,30,101.627,5.875,106.0532478,0.878497841
10000.25.001,30,101.878,5.99,106.4154755,1.257725549
10000.25.001,30,N/A,6.125,N/A,1.431294924
10000.25.001,35,97.458,4.25,102.5175137,0.784648675
10000.25.001,35,98.076,4.375,103.1414578,1.400592796
10000.25.001,35,98.834,4.5,103.72898,1.999114975
10000.25.001,35,99.085,4.625,104.1904538,2.466588746
10000.25.001,35,99.198,4.75,103.8727634,0.760091215
10000.25.001,35,99.837,4.875,104.3647119,1.248039691
10000.25.001,35,100.077,4.99,104.6746843,1.56701208
10000.25.001,35,100.336,5.125,105.213631,2.11095873
10000.25.001,35,100.459,5.25,104.4937911,0.760979239
10000.25.001,35,100.591,5.375,104.8808895,1.153077674
10000.25.001,35,100.708,5.5,105.0960016,1.374189759
10000.25.001,35,100.832,5.625,105.4093516,1.665539774
10000.25.001,35,100.953,5.75,105.6990531,0.579303133
10000.25.001,35,101.588,5.875,106.0032478,0.884497841
10000.25.001,35,101.828,5.99,106.3894755,1.254725549
10000.25.001,35,N/A,6.125,N/A,1.430294924
10000.25.001,40,97.423,4.25,102.4705137,0.787648675
10000.25.001,40,98.035,4.375,103.0934578,1.396592796
10000.25.001,40,98.798,4.5,103.69198,2.005114975
10000.25.001,40,99.048,4.625,104.1534538,2.458588746
10000.25.001,40,99.168,4.75,103.8157634,0.766091215
10000.25.001,40,99.795,4.875,104.3267119,1.261039691
10000.25.001,40,100.033,4.99,104.6386843,1.57301208
10000.25.001,40,100.292,5.125,105.166631,2.11195873
10000.25.001,40,100.415,5.25,104.4397911,0.764979239
10000.25.001,40,100.540,5.375,104.8248895,1.156077674
10000.25.001,40,100.664,5.5,105.0570016,1.367189759
10000.25.001,40,100.783,5.625,105.3693516,1.683539774
10000.25.001,40,100.926,5.75,105.6550531,0.566303133
10000.25.001,40,101.534,5.875,105.9612478,0.888497841
10000.25.001,40,101.792,5.99,106.3504755,1.262725549
10000.25.001,40,N/A,6.125,N/A,1.424294924
10000.25.001,45,97.384,4.25,102.4255137,0.784648675
10000.25.001,45,98.007,4.375,103.0534578,1.396592796
10000.25.001,45,98.754,4.5,103.64198,1.997114975
10000.25.001,45,98.995,4.625,104.1124538,2.460588746
10000.25.001,45,99.131,4.75,103.7807634,0.759091215
10000.25.001,45,99.748,4.875,104.2837119,1.243039691
10000.25.001,45,100,4.99,104.5896843,1.57501208
10000.25.001,45,100.256,5.125,105.132631,2.10495873
10000.25.001,45,100.366,5.25,104.4107911,0.760979239
10000.25.001,45,100.509,5.375,104.8028895,1.145077674
10000.25.001,45,100.635,5.5,105.0050016,1.362189759
10000.25.001,45,100.74,5.625,105.3153516,1.669539774
10000.25.001,45,100.870,5.75,105.6190531,0.569303133
10000.25.001,45,101.491,5.875,105.9102478,0.887497841
10000.25.001,45,101.76,5.99,106.3014755,1.263725549
10000.25.001,45,N/A,6.125,N/A,1.431294924
10000.25.001,60,97.254,4.25,102.3055137,0.779648675
10000.25.001,60,97.876,4.375,102.9154578,1.391592796
10000.25.001,60,98.624,4.5,103.51998,1.999114975
10000.25.001,60,98.871,4.625,103.9874538,2.457588746
10000.25.001,60,99.004,4.75,103.6467634,0.751091215
10000.25.001,60,99.622,4.875,104.1577119,1.243039691
10000.25.001,60,99.876,4.99,104.4606843,1.56301208
10000.25.001,60,100.120,5.125,105.007631,2.10395873
10000.25.001,60,100.248,5.25,104.2847911,0.763979239
